variant	unit_id	label
@	SU_0083	Elle
aas	SU_0403	Aas
aaz.	SU_0403	Aas
alak	SU_0379	Alak
alcatief gos	SU_0419	Alcatief gos
ammanam	SU_0048	Ammanam
ammonam	SU_0369	Ammonam
amsterdamse el	SU_0082	Amsterdamse el
amsterdamse elle	SU_0082	Amsterdamse el
ana	SU_0414	Ana
anas sikka	SU_0399	Anas Sikka
anna	SU_0414	Ana
annenam	SU_0048	Ammanam
aune	SU_0083	Elle
avossi	SU_0468	Avossi
baal	SU_0474	Baal
baar	SU_0007	Bahar
bahar	SU_0007	Bahar
bamboes	SU_0353	Bamboes
basaarsges	SU_0434	Basaarsges
bazaars ceer	SU_0394	Bazaars Ceer
bazaars cobido	SU_0411	Bazaars Cobido
bazaars maon	SU_0391	Bazaars Maon
bazarie	SU_0421	Bazarie
bhaar	SU_0007	Bahar
bhaar (engels)	SU_0485	Bhaar (Engels)
bhaar (frans)	SU_0486	Bhaar (Frans)
bhaar (hollands)	SU_0487	Bhaar (Hollands)
bidoor	SU_0365	Bidoor
boesoe	SU_0362	Boesoe
bos	SU_0021	Bos
boschmaat	SU_0352	Boschmaat
brootchiasche ceer	SU_0459	Brootchiasche Ceer
brootchiasche ges	SU_0098	Ges
cadje	SU_0024	Kati
cafla	SU_0447	Cafla
calange	SU_0060	Calange
calingie	SU_0060	Calange
callang	SU_0484	Callang
canaat	SU_0465	Canaat
candil	SU_0106	Kandijl
candyl	SU_0106	Kandijl
caraat	SU_0042	Karaat
caraat hollandsch	SU_0042	Karaat
casje	SU_0462	Casje
catja cheer	SU_0393	Ceer Katja
catje	SU_0024	Kati
catjes chinasch	SU_0463	Catjes Chinasch
catjes-gewigt	SU_0024	Kati
catsy	SU_0024	Kati
catti	SU_0024	Kati
cattie	SU_0024	Kati
cattij	SU_0024	Kati
catty	SU_0024	Kati
ceer	SU_0067	Ceer
ceer bombaysch	SU_0460	Ceer Bombaysch
ceer katja	SU_0393	Ceer Katja
ceer ketsja	SU_0393	Ceer Katja
ceer pakka	SU_0425	Ceer Pakka
ceer souratsch	SU_0441	Souratsche Ceer
cheer	SU_0067	Ceer
chimmekit	SU_0380	Chimmekit
chioendoe	SU_0368	Chioendoe
chioep	SU_0359	Chioep
chouw	SU_0429	Chouw
cingok	SU_0478	Cingok
clapperdop	SU_0354	Clapperdop
cobdido	SU_0069	Cobido
cobido	SU_0069	Cobido
cobit	SU_0069	Cobido
cobs.	SU_0069	Cobido
coebang	SU_0361	Coebang
coelang	SU_0060	Calange
coenjang	SU_0020	Cojang
coent.	SU_0020	Cojang
coentjang	SU_0020	Cojang
coerni	SU_0370	Coerni
cojang	SU_0020	Cojang
compagnies cobido	SU_0410	Compagnies Cobido
compagnies kan	SU_0015	Compagnies Kan
compagnies maon	SU_0390	Compagnies maon
compagnies pawa	SU_0499	Compagnies Pawa
condaryn	SU_0454	Conderyn
conderyn	SU_0454	Conderyn
conjang	SU_0020	Cojang
corge	SU_0072	Corge
corgi	SU_0072	Corge
corgie	SU_0072	Corge
cote	SU_0382	Cote
cotta nevel	SU_0504	Cotta nevel
cotty	SU_0371	Cotty
coyangh	SU_0020	Cojang
cubido	SU_0069	Cobido
cubite	SU_0069	Cobido
dabb.	SU_0501	Dabboes
dabboes	SU_0501	Dabboes
dubbelde parra	SU_0375	Dubbele Parra
dubbele mediet	SU_0387	Dubbele mediet
dubbele parra	SU_0375	Dubbele Parra
duim	SU_0028	Duim
duim groote maat	SU_0514	Grote Duim (Japans)
duim hollands	SU_0028	Duim
duim hollandsch	SU_0028	Duim
duim japanse	SU_0513	Kleine Duim (Japans)
duim rijnlandsch	SU_0357	Rijnlandsche duim
duym	SU_0028	Duim
el	SU_0464	El
el (engels)	SU_0490	El (Engels)
el (frans)	SU_0491	El (Frans)
el hollands	SU_0083	Elle
el hollandsch	SU_0083	Elle
el in 't vierkant	SU_0464	El
el.	SU_0083	Elle
ell	SU_0083	Elle
elle	SU_0083	Elle
elle hollandsch	SU_0083	Elle
elle-maat	SU_0083	Elle
ellemaat	SU_0083	Elle
ellen	SU_0083	Elle
engels	SU_0084	Engels
engelsche bhaar	SU_0485	Bhaar (Engels)
engelsche el	SU_0490	El (Engels)
engelsche pond	SU_0012	Pond (Engels)
engelsche yard	SU_0431	Yard
enkelde mediet	SU_0367	Mediet
fanum	SU_0480	Fanum
fiackgok	SU_0477	Fiackgok
fransche bhaar	SU_0486	Bhaar (Frans)
fransche el	SU_0491	El (Frans)
frasel	SU_0445	Frasila
frasila	SU_0445	Frasila
fust	SU_0358	Fust
gantang	SU_0095	Gantang
ganting	SU_0095	Gantang
garisa	SU_0483	Garst
gars	SU_0483	Garst
garsje	SU_0511	Garsje
garst	SU_0483	Garst
geeikte ges	SU_0433	Geeikte ges
gemeene kan	SU_0014	Kan
ges	SU_0098	Ges
ges souratsch	SU_0442	Ges Souratsch
goelak	SU_0356	Goelak
gok	SU_0475	Gok
grein	SU_0415	Grijn
grijn	SU_0415	Grijn
groote balie	SU_0452	Groote balie
groote baly	SU_0452	Groote balie
groote bhaar	SU_0497	Groote Bhaar
groote candyl	SU_0495	Groote Candyl
grote duim (japans)	SU_0514	Grote Duim (Japans)
grote wiese	SU_0507	Grote Wiese
gryn	SU_0415	Grijn
half musje	SU_0458	Half musje
halfje	SU_0345	Halve kan
halve kan	SU_0345	Halve kan
halve kit	SU_0348	Halve Kit
halve markal	SU_0377	Halve markal
halve mediet	SU_0376	Halve mediet
halve parra	SU_0374	Halve parra
halve pint	SU_0346	Halve pint
harria	SU_0426	Harria
hebreutie	SU_0469	Hebreutie
heele kan	SU_0015	Compagnies Kan
heemraade-bos	SU_0022	Heemraade-Bos
hollands amsteldam	SU_0028	Duim
hollands gewicht	SU_0011	Pond (VOC)
hollands pond	SU_0011	Pond (VOC)
hollandsch	SU_0083	Elle
hollandsch gewicht	SU_0011	Pond (VOC)
hollandsche bhaar	SU_0487	Bhaar (Hollands)
hollandsche duim	SU_0028	Duim
hollandsche elle	SU_0083	Elle
hollansche pond	SU_0011	Pond (VOC)
ikje	SU_0470	Ikje
inlandsche ges	SU_0098	Ges
jaar	SU_0431	Yard
japanse duim	SU_0513	Kleine Duim (Japans)
japanse voet	SU_0471	Voet (Japans)
java's last	SU_0349	Java's Last
kalsie	SU_0435	Kalsies
kalsies	SU_0435	Kalsies
kan	SU_0014	Kan
kandijl	SU_0106	Kandijl
karaat	SU_0042	Karaat
kati	SU_0024	Kati
katja seer	SU_0393	Ceer Katja
katje	SU_0024	Kati
kel	SU_0449	Kel
ketsja maon	SU_0424	Maon Ketsja
kipping	SU_0366	Kipping
kipps.	SU_0366	Kipping
kit	SU_0017	Kit
kit met kopere lip	SU_0017	Kit
kleine bhaar	SU_0498	Kleine Bhaar
kleine candyl	SU_0496	Kleine Candyl
